##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	WT_rep1_ERR458494.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1078049
Sequences flagged as poor quality	0
Sequence length	51
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.43508690235787	31.0	30.0	31.0	27.0	34.0
2	28.336176741502474	31.0	27.0	31.0	16.0	34.0
3	27.1893615225282	31.0	25.0	31.0	16.0	34.0
4	30.671897103007378	35.0	28.0	37.0	19.0	37.0
5	33.19825258406622	35.0	32.0	37.0	28.0	37.0
6	34.330130634136296	35.0	33.0	37.0	31.0	37.0
7	34.80422132945719	35.0	35.0	37.0	32.0	37.0
8	34.92612858970232	35.0	35.0	37.0	32.0	37.0
9	36.561473550831174	38.0	35.0	39.0	32.0	39.0
10	36.67143515740008	39.0	35.0	39.0	32.0	39.0
11	36.616848584804586	39.0	35.0	39.0	32.0	39.0
12	36.57471228116718	38.0	35.0	39.0	32.0	39.0
13	36.570498187002634	38.0	35.0	39.0	32.0	39.0
14	37.69401947406843	39.0	36.0	41.0	32.0	41.0
15	37.69776976742244	39.0	36.0	41.0	32.0	41.0
16	37.642332584140426	39.0	36.0	41.0	32.0	41.0
17	37.523318513351434	39.0	36.0	41.0	32.0	41.0
18	37.56290762293736	39.0	36.0	41.0	32.0	41.0
19	37.583089451407126	39.0	36.0	41.0	32.0	41.0
20	37.57525678331876	39.0	36.0	41.0	32.0	41.0
21	37.39686507756141	39.0	36.0	40.0	32.0	41.0
22	37.44400857474938	39.0	36.0	40.0	32.0	41.0
23	37.35295798242937	39.0	36.0	40.0	32.0	41.0
24	37.47784562668302	39.0	36.0	41.0	32.0	41.0
25	37.433778984072156	39.0	36.0	41.0	32.0	41.0
26	37.286051005102735	39.0	36.0	40.0	31.0	41.0
27	37.28153636801296	39.0	36.0	40.0	31.0	41.0
28	37.26537012696083	39.0	36.0	40.0	31.0	41.0
29	37.20950810213636	39.0	36.0	40.0	31.0	41.0
30	37.11980902537825	39.0	36.0	40.0	31.0	41.0
31	37.05654937762569	39.0	36.0	40.0	31.0	41.0
32	37.03310239144974	39.0	36.0	40.0	31.0	41.0
33	36.98296645143217	39.0	36.0	40.0	30.0	41.0
34	36.944824400375126	39.0	36.0	40.0	30.0	41.0
35	36.89038995444548	39.0	36.0	40.0	30.0	41.0
36	36.81615214150748	39.0	35.0	40.0	30.0	41.0
37	36.75535063805078	39.0	35.0	40.0	30.0	41.0
38	36.70599666619977	39.0	35.0	40.0	30.0	41.0
39	36.60297537495977	38.0	35.0	40.0	30.0	41.0
40	36.52785263007526	38.0	35.0	40.0	30.0	41.0
41	36.44951667317534	38.0	35.0	40.0	30.0	41.0
42	36.35811451984093	38.0	35.0	40.0	30.0	41.0
43	36.52360514225234	39.0	35.0	40.0	30.0	41.0
44	36.55134135832416	39.0	35.0	40.0	30.0	41.0
45	36.53162889627466	39.0	35.0	40.0	30.0	41.0
46	36.48885904073006	39.0	35.0	40.0	30.0	41.0
47	36.3904256671079	39.0	35.0	40.0	30.0	41.0
48	36.28565399160892	39.0	35.0	40.0	30.0	41.0
49	36.119740382858296	39.0	35.0	40.0	30.0	41.0
50	35.92187831907455	39.0	35.0	40.0	30.0	41.0
51	34.99187699260423	38.0	34.0	40.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	1.1711997318645224
1101	2	3.3970289786904324
1101	3	3.1167204021313246
1101	4	4.481947379144586
1101	5	2.1765195550301186
1101	6	1.0854787649644138
1101	7	0.7697139130916284
1101	8	0.6412833235350632
1101	9	0.5560474005396969
1101	10	0.5112825514242871
1101	11	0.5411532862094788
1101	12	0.5054471689242988
1101	13	0.34945467010886944
1101	14	0.5940260542943605
1101	15	0.429532786301948
1101	16	0.5394936745197825
1101	17	0.5675797889334291
1101	18	0.4925650813156821
1101	19	0.5043366712114192
1101	20	0.49758064778033884
1101	21	0.6385386341650587
1101	22	0.5904086158853019
1101	23	0.38117046316751413
1101	24	0.28615224210637535
1101	25	0.442367264865986
1101	26	0.5521519215046737
1101	27	0.4603406091996547
1101	28	0.32726026101892813
1101	29	0.21638774678749684
1101	30	0.3069735936938969
1101	31	0.3606894979788109
1101	32	0.33673936749619315
1101	33	0.27680204642484796
1101	34	0.23949284037853857
1101	35	0.3273654868399589
1101	36	0.4167139438386087
1101	37	0.4520112629634596
1101	38	0.41393714134029835
1101	39	0.23593294890689975
1101	40	0.18381030954119382
1101	41	0.31837770024254297
1101	42	0.33374943158906945
1101	43	0.23602463078278646
1101	44	0.31460618364538107
1101	45	0.23636802095306564
1101	46	0.4064406286058784
1101	47	0.3904520925626329
1101	48	0.43274157203406105
1101	49	0.30217545914562294
1101	50	0.49431489821564867
1101	51	0.8309283488601551
1102	1	0.04619320547179129
1102	2	3.1294990878117197
1102	3	-1.0356273588808733
1102	4	-2.087795829056045
1102	5	-0.6230418713782768
1102	6	-0.017296692318168994
1102	7	0.013890195310260367
1102	8	0.34649269021391405
1102	9	0.39636179863224896
1102	10	0.46462536978172864
1102	11	0.3793705367707503
1102	12	0.27040783653076517
1102	13	0.5181010092376397
1102	14	0.5462593858873248
1102	15	0.42832322818224355
1102	16	0.3900349300237096
1102	17	0.5069169684875448
1102	18	0.1496510034514671
1102	19	0.5530866494567803
1102	20	0.4809100652780316
1102	21	0.6605129984944114
1102	22	0.4930109062140531
1102	23	0.38056568410765834
1102	24	0.2950803473640349
1102	25	0.41798248615420874
1102	26	0.531099954014806
1102	27	0.4067763285821684
1102	28	0.24476013049107337
1102	29	0.2383773393665578
1102	30	0.40950322351690005
1102	31	0.3635872163519096
1102	32	0.3427284205601211
1102	33	0.1742789429945759
1102	34	0.2979497400809379
1102	35	0.40719414727609404
1102	36	0.3033700812583362
1102	37	0.21937581855962662
1102	38	0.26807879016816116
1102	39	0.18990665189512157
1102	40	0.3412269022420773
1102	41	0.21518020289660456
1102	42	0.2772613270275528
1102	43	0.26777988235347294
1102	44	0.29572532947109664
1102	45	0.3243046366268487
1102	46	0.44067808487905324
1102	47	0.31496783422190333
1102	48	0.3866434847022191
1102	49	0.28446935566314124
1102	50	0.317410496816386
1102	51	0.8024145390131352
1103	1	0.017696624171470887
1103	2	-0.14435291688140595
1103	3	-0.21347863533028288
1103	4	0.05670795376549265
1103	5	0.1838764439512488
1103	6	0.12407159671366941
1103	7	0.11538309493399623
1103	8	0.12813487980002947
1103	9	0.3046840060198761
1103	10	0.19754400877513234
1103	11	0.28216213769319154
1103	12	0.2810118742376062
1103	13	0.24077973238365047
1103	14	0.20380682287401441
1103	15	0.17992941016225927
1103	16	0.16808445059659505
1103	17	0.24461369543660538
1103	18	0.2948081827208
1103	19	0.35056813992892444
1103	20	0.58450475719048
1103	21	0.5281992063675318
1103	22	0.5759517970988739
1103	23	0.36080600453489353
1103	24	0.24095767875538598
1103	25	0.2987912412620304
1103	26	0.4536289826186035
1103	27	0.5109718215627055
1103	28	0.3313806750555415
1103	29	0.3893665370847259
1103	30	0.3923106030532537
1103	31	0.2595758072003136
1103	32	0.35550100622990044
1103	33	0.4942105690009697
1103	34	0.12927433448964365
1103	35	0.28634817082264163
1103	36	0.3142815996464847
1103	37	0.31056406956096083
1103	38	0.35296166430337195
1103	39	0.21284835193961982
1103	40	0.15582414300754266
1103	41	0.5048229588945006
1103	42	0.2874992199757287
1103	43	0.4458779525076153
1103	44	0.2834706060014227
1103	45	0.31905925895156884
1103	46	0.344998997611178
1103	47	0.2979673891840733
1103	48	0.2974214917419147
1103	49	0.5067940714457961
1103	50	0.4258743071493569
1103	51	0.62206295912884
1104	1	0.07109369006853683
1104	2	2.967447628252472
1104	3	0.8342526457343311
1104	4	-0.7089666494091098
1104	5	-0.2517556708475297
1104	6	-0.0748641897221205
1104	7	0.13542878997969154
1104	8	0.2601234159552348
1104	9	0.13768665152252169
1104	10	0.24130703587149327
1104	11	0.08732888452660603
1104	12	0.09451796691036662
1104	13	0.18871944699003507
1104	14	0.2913629395967945
1104	15	0.3595710648039159
1104	16	0.2550473333928096
1104	17	0.25784722117013104
1104	18	0.2568031322157438
1104	19	0.284705144899263
1104	20	0.3311898622089231
1104	21	0.11996407729907332
1104	22	0.09877126158500005
1104	23	0.22581923204812426
1104	24	0.21038408568179534
1104	25	0.20757952088364817
1104	26	0.027689027511982545
1104	27	0.1784461682037204
1104	28	0.20082912783733065
1104	29	0.0918877812726322
1104	30	0.23523588764520298
1104	31	0.25838933934718256
1104	32	0.38204421610644346
1104	33	0.0782754238991572
1104	34	0.05674747862945395
1104	35	0.30730375844489544
1104	36	0.13280212233367905
1104	37	0.22983214716236944
1104	38	0.058360894702602195
1104	39	-0.0014153164907142468
1104	40	0.014686576869976875
1104	41	0.005498363736577971
1104	42	0.09169394500378303
1104	43	0.1589331072294371
1104	44	-0.06917890498142043
1104	45	-0.1207816100559711
1104	46	0.09591490269374958
1104	47	-0.09111991240322936
1104	48	-0.09018673336631622
1104	49	0.027755671574063
1104	50	-0.0032021719271213556
1104	51	0.17287865577787187
1105	1	-0.4871631537317853
1105	2	-2.647420863427616
